original_file,roboflow_split,n_billetes,n_manos,area_max_billete,estado,motivo,duplicado_de,distancia,dataset_del_duplicado,nombre_en_train
100Euro_101_JPEG_jpg.rf.X5V1uoBnwqK2lIHLLwiS.jpg,train,1,0,0.652,excluida,"primer plano (1 billete, >50% de la imagen)",,,,
100Euro_127_JPEG_jpg.rf.o3EHt7mvV3HZLRtTaBQ1.jpg,train,2,0,0.407,incluida en train,,,,,ebd_100Euro_127_JPEG.jpg
100Euro_136_JPEG_jpg.rf.oZFPUINhVN9mlhoRDzBi.jpg,train,1,0,0.699,excluida,"primer plano (1 billete, >50% de la imagen)",,,,
100Euro_147_JPEG_jpg.rf.twiAo9DdlSsXTF9qfcfl.jpg,train,1,0,0.837,excluida,"primer plano (1 billete, >50% de la imagen)",,,,
100Euro_148_JPEG_jpg.rf.7AXiNH4PllUFP0txkMHB.jpg,train,2,0,0.42,incluida en train,,,,,ebd_100Euro_148_JPEG.jpg
100Euro_153_JPEG_jpg.rf.C37by4Sb8EC65X828Msu.jpg,train,1,0,1.0,excluida,"primer plano (1 billete, >50% de la imagen)",,,,
100Euro_154_JPEG_jpg.rf.MsuNhSGUUfS9Pygpcpwu.jpg,train,1,0,0.669,excluida,duplicado,100_Euro_085.jpg,1,train,
100Euro_159_jpg.rf.sVyZ2UJcY6YpTbHVnIS6.jpg,train,2,0,0.345,excluida,duplicado,100_Euro_086.jpg,2,train,
100Euro_161_JPEG_jpg.rf.uHLG2OV7X67yb9w5ENJl.jpg,train,2,0,0.364,incluida en train,,,,,ebd_100Euro_161_JPEG.jpg
100Euro_169_JPEG_jpg.rf.WPcEidbMKAGUq5z6gsZt.jpg,train,1,0,0.779,excluida,"primer plano (1 billete, >50% de la imagen)",,,,
100Euro_170_JPEG_jpg.rf.jvEQiFpLRAT2TxS4b7ib.jpg,train,2,0,0.134,incluida en train,,,,,ebd_100Euro_170_JPEG.jpg
100Euro_175_JPEG_jpg.rf.wO3pb1CfIMLUjiolXsfC.jpg,train,1,0,1.0,excluida,duplicado,100_Euro_122.jpg,0,train,
100Euro_182_JPEG_jpg.rf.CMyokDLoQqKqpR7xblGX.jpg,train,2,4,0.265,incluida en train,,,,,ebd_100Euro_182_JPEG.jpg
100Euro_183_JPEG_jpg.rf.4bEGrj1wteOheDGfHHyT.jpg,train,1,0,1.0,excluida,duplicado,100Euro_175_JPEG_jpg.rf.wO3pb1CfIMLUjiolXsfC.jpg,8,nuevo (mismo dataset),
100Euro_191_jpg.rf.Zn3wm8mkgPq7J7MOSx9R.jpg,train,2,0,0.429,excluida,duplicado,100_Euro_147.jpg,2,train,
100Euro_31_JPEG_jpg.rf.dquFgahAXUBBqefKhU4L.jpg,train,1,0,0.788,excluida,duplicado,100_Euro_200.jpg,2,train,
100Euro_38_JPEG_jpg.rf.x2DNlONIlTnmGpvqEoC3.jpg,train,1,0,0.407,incluida en train,,,,,ebd_100Euro_38_JPEG.jpg
100Euro_44_JPEG_jpg.rf.pS5OXfXlCRIUrebpFURh.jpg,train,2,2,0.307,excluida,duplicado,Multiple_Euro_069.jpg,1,train,
100Euro_53_JPEG_jpg.rf.qQCRWsUYR1Nsi5R7bQOp.jpg,train,1,0,1.0,excluida,duplicado,100_Euro_243.jpg,2,train,
100Euro_54_JPEG_jpg.rf.cxaHG8jMBW2KTOfwo9hW.jpg,train,1,0,0.684,excluida,"primer plano (1 billete, >50% de la imagen)",,,,
100Euro_59_jpg.rf.ZvY9Mnuu969JaEIYBk2Q.jpg,train,2,0,0.347,excluida,duplicado,100_Euro_249.jpg,5,test,
100Euro_61_JPEG_jpg.rf.n8AIN3y3AYggWxhvFQdN.jpg,train,2,0,0.368,excluida,duplicado,Multiple_Euro_004.jpg,0,test,
100Euro_71_JPEG_jpg.rf.iY7oP9CV6RzSnxSeuEME.jpg,train,1,0,0.762,excluida,duplicado,100_Euro_338.jpg,0,train,
100Euro_73_JPEG_jpg.rf.Xe2XWyatdXqIqpo7L7gB.jpg,train,1,0,0.968,excluida,"primer plano (1 billete, >50% de la imagen)",,,,
100Euro_74_JPEG_jpg.rf.1RKA3ldSM9ghecs3tddh.jpg,train,1,0,0.624,excluida,duplicado,100_Euro_275.jpg,4,train,
100Euro_77_JPEG_jpg.rf.YStGgtbTNWmzf7jeh6gh.jpg,train,2,0,0.412,incluida en train,,,,,ebd_100Euro_77_JPEG.jpg
100Euro_7_jpg.rf.h5N5CtBrBPS2FUAYPcRZ.jpg,train,1,0,0.68,excluida,"primer plano (1 billete, >50% de la imagen)",,,,
100Euro_99_JPEG_jpg.rf.TcmHIOzZk69WqwW8F0eI.jpg,train,1,0,0.837,excluida,"primer plano (1 billete, >50% de la imagen)",,,,
100Euro_9_jpg.rf.X0fqyr4cQXXFWBxMIjiB.jpg,train,2,0,0.355,excluida,duplicado,100_Euro_335.jpg,2,train,
10Euro_101_jpg.rf.dxWH3XJD4YUIYtsv0rYJ.jpg,train,1,0,0.25,incluida en train,,,,,ebd_10Euro_101.jpg
10Euro_103_jpg.rf.GNAs0TegXyYN5mylbbO3.jpg,train,1,0,0.717,excluida,"primer plano (1 billete, >50% de la imagen)",,,,
10Euro_105_jpeg_jpg.rf.alN6jCVvrwYZilmxuii8.jpg,train,1,0,0.605,excluida,duplicado,010_Euro_017.jpg,2,train,
10Euro_107_jpg.rf.g3YiXhrkJtyeen1YbVOy.jpg,train,1,0,0.938,excluida,"primer plano (1 billete, >50% de la imagen)",,,,
10Euro_111_jpg.rf.SmKR5JZhzYTcDoKrw3CN.jpg,train,1,0,0.764,excluida,duplicado,010_Euro_029.jpg,0,train,
10Euro_117_jpg.rf.Hd9mI9n55IOc89N0sk2s.jpg,train,1,0,0.77,excluida,"primer plano (1 billete, >50% de la imagen)",,,,
